"filename", "language", "Java", "Typst", "Markdown", "comment", "blank", "total"
"d:\Desktop\Document\Coding\JAVA\Rep\Java-coures-report\README.md", "Markdown", 0, 0, 1, 0, 2, 3
"d:\Desktop\Document\Coding\JAVA\Rep\Java-coures-report\README.typ", "Typst", 0, 178, 0, 2, 39, 219
"d:\Desktop\Document\Coding\JAVA\Rep\Java-coures-report\rubbish\myIO.java", "Java", 73, 0, 0, 0, 15, 88
"d:\Desktop\Document\Coding\JAVA\Rep\Java-coures-report\sis1\basicIO.java", "Java", 26, 0, 0, 0, 3, 29
"d:\Desktop\Document\Coding\JAVA\Rep\Java-coures-report\sis2\Test.java", "Java", 54, 0, 0, 15, 3, 72
"d:\Desktop\Document\Coding\JAVA\Rep\Java-coures-report\sis2\UIDmanager.java", "Java", 138, 0, 0, 0, 19, 157
"d:\Desktop\Document\Coding\JAVA\Rep\Java-coures-report\sis3\Test.java", "Java", 26, 0, 0, 5, 5, 36
"d:\Desktop\Document\Coding\JAVA\Rep\Java-coures-report\sis3\TrieTree.java", "Java", 37, 0, 0, 0, 6, 43
"d:\Desktop\Document\Coding\JAVA\Rep\Java-coures-report\sis4\regularExp.java", "Java", 34, 0, 0, 0, 3, 37
"d:\Desktop\Document\Coding\JAVA\Rep\Java-coures-report\sis5\SchoolLib.java", "Java", 186, 0, 0, 31, 15, 232
"d:\Desktop\Document\Coding\JAVA\Rep\Java-coures-report\sis5\Student.java", "Java", 114, 0, 0, 0, 24, 138
"d:\Desktop\Document\Coding\JAVA\Rep\Java-coures-report\sis5\Test.java", "Java", 18, 0, 0, 0, 3, 21
"d:\Desktop\Document\Coding\JAVA\Rep\Java-coures-report\sis5\course.java", "Java", 76, 0, 0, 0, 17, 93
"d:\Desktop\Document\Coding\JAVA\Rep\Java-coures-report\sis5\score.java", "Java", 107, 0, 0, 0, 22, 129
"d:\Desktop\Document\Coding\JAVA\Rep\Java-coures-report\sis6\Test.java", "Java", 24, 0, 0, 5, 5, 34
"d:\Desktop\Document\Coding\JAVA\Rep\Java-coures-report\sis6\segTree.java", "Java", 100, 0, 0, 3, 14, 117
"d:\Desktop\Document\Coding\JAVA\Rep\Java-coures-report\sis7\maxFlow.java", "Java", 96, 0, 0, 0, 13, 109
"d:\Desktop\Document\Coding\JAVA\Rep\Java-coures-report\sis7\minCost.java", "Java", 139, 0, 0, 0, 19, 158
"d:\Desktop\Document\Coding\JAVA\Rep\Java-coures-report\sis7\solution.java", "Java", 26, 0, 0, 1, 3, 30
"d:\Desktop\Document\Coding\JAVA\Rep\Java-coures-report\sis8\Bed.java", "Java", 13, 0, 0, 0, 4, 17
"d:\Desktop\Document\Coding\JAVA\Rep\Java-coures-report\sis8\City.java", "Java", 21, 0, 0, 0, 7, 28
"d:\Desktop\Document\Coding\JAVA\Rep\Java-coures-report\sis8\Constants.java", "Java", 10, 0, 0, 0, 4, 14
"d:\Desktop\Document\Coding\JAVA\Rep\Java-coures-report\sis8\Hospital.java", "Java", 49, 0, 0, 0, 20, 69
"d:\Desktop\Document\Coding\JAVA\Rep\Java-coures-report\sis8\Main.java", "Java", 32, 0, 0, 0, 6, 38
"d:\Desktop\Document\Coding\JAVA\Rep\Java-coures-report\sis8\MoveTarget.java", "Java", 28, 0, 0, 0, 9, 37
"d:\Desktop\Document\Coding\JAVA\Rep\Java-coures-report\sis8\MyPanel.java", "Java", 78, 0, 0, 2, 15, 95
"d:\Desktop\Document\Coding\JAVA\Rep\Java-coures-report\sis8\Person.java", "Java", 145, 0, 0, 6, 39, 190
"d:\Desktop\Document\Coding\JAVA\Rep\Java-coures-report\sis8\PersonPool.java", "Java", 38, 0, 0, 10, 9, 57
"d:\Desktop\Document\Coding\JAVA\Rep\Java-coures-report\sis8\Point.java", "Java", 21, 0, 0, 0, 7, 28
"d:\Desktop\Document\Coding\JAVA\Rep\Java-coures-report\sis9\myLinearEntire.java", "Java", 22, 0, 0, 0, 11, 33
"d:\Desktop\Document\Coding\JAVA\Rep\Java-coures-report\sis9\myLinearSpace.java", "Java", 71, 0, 0, 0, 13, 84
"d:\Desktop\Document\Coding\JAVA\Rep\Java-coures-report\sis9\myMatrix.java", "Java", 138, 0, 0, 0, 14, 152
"d:\Desktop\Document\Coding\JAVA\Rep\Java-coures-report\sis9\myPolynomial.java", "Java", 65, 0, 0, 0, 10, 75
"d:\Desktop\Document\Coding\JAVA\Rep\Java-coures-report\sis9\myRealNum.java", "Java", 54, 0, 0, 0, 15, 69
"d:\Desktop\Document\Coding\JAVA\Rep\Java-coures-report\test.java", "Java", 56, 0, 0, 7, 15, 78
"Total", "-", 2115, 178, 1, 87, 428, 2809
